# SRC: SgrA 
# RA: 17 h 45 m 40.0409 s
# DEC: -28 deg 59 m 31.8820 s
# MJD: 48277.0000 - 48278.0069 
# RF: 14.9000 GHz 
# BW: 4.0000 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# -------------------------------------------------------------------------------------------------------------------------------------------------
# time (hr)   T1     T2    tint    U (lambda)       V (lambda)       Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
00.00000000   ALMA    LMT   60.00   146801563.2536  -215145354.0788    0.00063194   -73.8680   0.00139865  -148.4465    0.00057826   -34.0757    0.00057571
00.00000000   ALMA    SMT   60.00   202287357.1674  -253604895.2858    0.00182953   -71.9923   0.00212831   172.7175    0.00272954   137.2472    0.00265388
00.00000000   ALMA    SPT   60.00   127271837.0547   296157131.9373    0.00055850    62.7506   0.00046490  -101.5433    0.00024070    85.0866    0.00097312
00.00000000    LMT   ALMA   60.00  -146801563.2536   215145354.0788    0.00035057    28.4724   0.00088574   119.7473    0.00083097   143.3656    0.00057571
00.00000000    LMT    SMT   60.00    55485793.9137   -38459541.2069    0.00557138    16.3741   0.00950517    -7.4958    0.00217456    31.8385    0.00423413
00.00000000    LMT    SPT   60.00   -19529726.1989   511302486.0161    0.00128715   149.2347   0.00068718    34.4754    0.00118987  -151.1306    0.00155257
00.00000000    SMT   ALMA   60.00  -202287357.1674   253604895.2858    0.00224857  -149.1387   0.00193152    93.6901    0.00105556    12.9988    0.00265388
00.00000000    SMT    LMT   60.00   -55485793.9137    38459541.2069    0.00408363  -104.5566   0.00565871  -116.6895    0.00090829   -51.5494    0.00423413
00.00000000    SMT    SPT   60.00   -75015520.1127   549762027.2231    0.00988593   -79.7597   0.00561402    50.9457    0.00529294   -54.2265    0.00715699
00.00000000    SPT   ALMA   60.00  -127271837.0547  -296157131.9373    0.00159700   -78.8755   0.00121590   101.0648    0.00059524    88.1366    0.00097312
00.00000000    SPT    LMT   60.00    19529726.1989  -511302486.0161    0.00302786  -135.7458   0.00364816   -43.3051    0.00295536    88.6580    0.00155257
00.00000000    SPT    SMT   60.00    75015520.1127  -549762027.2231    0.00975056   -31.5271   0.00434778   133.9735    0.00903834   146.8814    0.00715699
00.16666667   ALMA    LMT   60.00   145071938.0510  -218232202.9403    0.00173482   147.7126   0.00051462    40.7985    0.00059116    63.8470    0.00057571
00.16666667   ALMA    SMT   60.00   202382471.4980  -257884676.0617    0.00326924    69.3915   0.00560476    71.4676    0.00175281   151.1837    0.00265388
00.16666667   ALMA    SPT   60.00   138622308.6857   293345040.2696    0.00193895   -65.0012   0.00250683   161.1821    0.00156581  -152.6351    0.00097312
00.16666667    LMT   ALMA   60.00  -145071938.0510   218232202.9403    0.00047786   118.7491   0.00025713    -1.0463    0.00063979   110.1983    0.00057571
00.16666667    LMT    SMT   60.00    57310533.4470   -39652473.1214    0.00439477     1.1836   0.00225320    61.9170    0.01017964    45.3063    0.00423413
00.16666667    LMT    SPT   60.00    -6449629.3654   511577243.2099    0.00268662    84.3210   0.00044886  -147.0798    0.00550762    16.1419    0.00155257
00.16666667    SMT   ALMA   60.00  -202382471.4980   257884676.0617    0.00082675   -10.2656   0.00303977  -133.5991    0.00176733   -59.4275    0.00265388
00.16666667    SMT    LMT   60.00   -57310533.4470    39652473.1214    0.00525856   -69.9495   0.00080105   156.7293    0.00538492  -153.0094    0.00423413
00.16666667    SMT    SPT   60.00   -63760162.8123   551229716.3313    0.01251188   -80.3435   0.00898620    67.3246    0.01272853    52.9701    0.00715699
00.16666667    SPT   ALMA   60.00  -138622308.6857  -293345040.2696    0.00140157  -143.8666   0.00152333   118.2339    0.00137073   107.9606    0.00097312
00.16666667    SPT    LMT   60.00     6449629.3654  -511577243.2099    0.00127145   116.2114   0.00262827     1.7712    0.00271002   117.2330    0.00155257
00.16666667    SPT    SMT   60.00    63760162.8123  -551229716.3313    0.01408831  -138.5449   0.01264099   -11.3064    0.00847773    83.5706    0.00715699
00.33333333   ALMA    LMT   60.00   143066160.1690  -221279546.2465    0.00057606  -141.3701   0.00035936   103.4078    0.00098106  -138.5098    0.00057571
00.33333333   ALMA    SMA   60.00   399766473.2040  -158699200.0788    0.00293773  -147.7120   0.00296968    84.6912    0.00256599   -55.2111    0.00170297
00.33333333   ALMA    SMT   60.00   202092339.2915  -262162394.3321    0.00157547    73.0164   0.00155036  -121.5853    0.00139211    95.2171    0.00265388
00.33333333   ALMA    SPT   60.00   149708904.8733   290295654.5791    0.00078527  -164.5264   0.00051054  -105.1942    0.00022436   122.8007    0.00097312
00.33333333    LMT   ALMA   60.00  -143066160.1690   221279546.2465    0.00080192   109.3238   0.00049618  -168.2189    0.00030900  -131.8220    0.00057571
00.33333333    LMT    SMA   60.00   256700313.0350    62580346.1677    0.00134245  -154.0342   0.00235130   -28.7994    0.00337236   -68.7535    0.00271699
00.33333333    LMT    SMT   60.00    59026179.1225   -40882848.0857    0.00544210   -40.3734   0.00885289  -106.9712    0.00139585  -176.3092    0.00423413
00.33333333    LMT    SPT   60.00     6642744.7043   511575200.8256    0.00045427   -79.3467   0.00099641    17.1887    0.00143542  -141.1069    0.00155257
00.33333333    SMA   ALMA   60.00  -399766473.2040   158699200.0788    0.00268092    96.2645   0.00225113  -100.6637    0.00171567   -86.5095    0.00170297
00.33333333    SMA    LMT   60.00  -256700313.0350   -62580346.1677    0.00155403   122.5630   0.00886650    60.4627    0.00451101   113.0158    0.00271699
00.33333333    SMA    SMT   60.00  -197674133.9124  -103463194.2533    0.01631622   -93.6806   0.01354283    91.5138    0.01343457   -43.1430    0.01252473
00.33333333    SMA    SPT   60.00  -250057568.3307   448994854.6579    0.00292514     0.5714   0.01078331   107.5998    0.00681411  -137.6828    0.00459256
00.33333333    SMT   ALMA   60.00  -202092339.2915   262162394.3321    0.00294382   137.3242   0.00414391   148.7957    0.00283650   168.0399    0.00265388
00.33333333    SMT    LMT   60.00   -59026179.1225    40882848.0857    0.00662817    19.8208   0.00414022   -31.8303    0.00855393   -54.4183    0.00423413
00.33333333    SMT    SMA   60.00   197674133.9124   103463194.2533    0.00792887  -170.7358   0.02001119    69.7143    0.00888351   -96.5567    0.01252473
00.33333333    SMT    SPT   60.00   -52383434.4182   552458048.9112    0.00547019    72.4357   0.00882002    65.1840    0.00600468    12.0565    0.00715699
00.33333333    SPT   ALMA   60.00  -149708904.8733  -290295654.5791    0.00167398    65.7180   0.00123688  -132.1222    0.00204067    50.4405    0.00097312
00.33333333    SPT    LMT   60.00    -6642744.7043  -511575200.8256    0.00299405   -39.0780   0.00166366   114.2290    0.00309354   131.1645    0.00155257
00.33333333    SPT    SMA   60.00   250057568.3307  -448994854.6579    0.00639597   121.5241   0.00807004  -141.1472    0.00367215    31.6336    0.00459256
00.33333333    SPT    SMT   60.00    52383434.4182  -552458048.9112    0.00521327   -41.7346   0.00560443   106.8897    0.02252383  -159.1770    0.00715699
00.50000000   ALMA    LMT   60.00   140788047.7198  -224281583.2061    0.00149416    58.2837   0.00139275   123.6400    0.00103879   -19.5357    0.00057571
00.50000000   ALMA    SMA   60.00   403217599.7133  -167191545.0851    0.00258415   -38.3379   0.00067091    -5.8875    0.00462784  -142.8634    0.00170297
00.50000000   ALMA    SMT   60.00   201417512.8310  -266429907.2172    0.00303514    40.3647   0.00370387   -10.5180    0.00265130    43.7440    0.00265388
00.50000000   ALMA    SPT   60.00   160510521.6516   287014779.5449    0.00227489    97.7704   0.00112085    16.6273    0.00125553  -159.5045    0.00097312
00.50000000    LMT   ALMA   60.00  -140788047.7198   224281583.2061    0.00014003    43.5431   0.00044073   100.0778    0.00033577   177.6166    0.00057571
00.50000000    LMT    SMA   60.00   262429551.9936    57090038.1210    0.00223898    32.3180   0.00040263    71.6675    0.00223340   102.5622    0.00271699
00.50000000    LMT    SMT   60.00    60629465.1112   -42148324.0111    0.00608981    64.1681   0.00234562   -88.9082    0.00315282   -23.0107    0.00423413
00.50000000    LMT    SPT   60.00    19722473.9318   511296362.7510    0.00242988    -3.9154   0.00318393    72.2221    0.00265793    75.4393    0.00155257
00.50000000    SMA   ALMA   60.00  -403217599.7133   167191545.0851    0.00254614  -176.5999   0.00012162    81.1214    0.00229370   116.8005    0.00170297
00.50000000    SMA    LMT   60.00  -262429551.9936   -57090038.1210    0.00211105   -89.1780   0.00394140   -20.5895    0.00621134    95.2253    0.00271699
00.50000000    SMA    SMT   60.00  -201800086.8823   -99238362.1321    0.02277897   111.9277   0.02014354    99.5115    0.02270277  -159.3706    0.01252473
00.50000000    SMA    SPT   60.00  -242707078.0618   454206324.6300    0.00435471  -142.2203   0.00852739    25.5091    0.00359418   160.6721    0.00459256
00.50000000    SMT   ALMA   60.00  -201417512.8310   266429907.2172    0.00207105   149.3012   0.00411182     6.2814    0.00244703    36.5311    0.00265388
00.50000000    SMT    LMT   60.00   -60629465.1112    42148324.0111    0.00766944   147.1502   0.00470059     1.7557    0.00889986   113.7293    0.00423413
00.50000000    SMT    SMA   60.00   201800086.8823    99238362.1321    0.03327427   179.5450   0.00887052    86.3000    0.01064533   167.1902    0.01252473
00.50000000    SMT    SPT   60.00   -40906991.1794   553444686.7621    0.00954564   164.7544   0.00470035   -80.4523    0.00261769  -177.2095    0.00715699
